X,Y,Z,Activity
-12.245735,-1.384321,-3.199746,Sit
-16.070581,-1.995051,-3.719465,Sit
-11.407478,-0.888552,-4.974456,Sit
-8.289163,0.129331,-2.071692,Sit
-6.71324,0.007185,-2.430945,Sit
-5.817502,-0.304167,-1.975891,Sit
-6.334827,-0.704136,-0.718506,Sit
-7.802974,-0.59636,0.287402,Sit
-8.59333,-1.381926,-1.528023,Sit
-8.423284,-1.535208,-3.355422,Sit
-8.543036,-0.526904,-3.829636,Sit
-7.800579,-1.563948,-2.275269,Sit
-7.005433,-1.506467,-0.110171,Sit
-10.715318,-2.936294,-1.446592,Sit
-13.234879,-3.384163,-1.743574,Sit
-12.511582,-1.748364,-1.348396,Sit
-9.874666,0.191602,-1.302891,Sit
-11.500884,0.304167,0.946033,Sit
-12.492422,0.210762,-0.60115,Sit
-10.483001,1.319656,-3.68833,Sit
-11.141631,1.999841,-4.334986,Sit
-13.270803,1.015488,-3.388953,Sit
-18.650019,-3.695515,-2.730322,Sit
-13.304334,-1.927991,-5.336104,Sit
-4.452342,3.369793,-0.752036,Sit
-3.791316,3.079995,5.106182,Sit
0.579595,5.247488,1.599873,Sit
-5.470225,3.642825,-0.888552,Sit
-4.940926,3.396138,-1.587898,Sit
-7.558682,2.962639,-2.668052,Sit
-9.891431,2.720742,-3.508704,Sit
-9.302257,2.663262,-4.155359,Sit
-9.915381,2.426155,-4.354146,Sit
-9.177715,1.295706,-3.942202,Sit
-7.477252,1.448987,-4.291875,Sit
-6.488108,2.596201,-4.449946,Sit
-9.127419,3.09676,-4.414021,Sit
-10.746453,2.165098,-4.648733,Sit
-10.676997,1.717229,-5.740862,Sit
-10.171648,2.406995,-5.259463,Sit
-10.063872,1.85614,-3.815266,Sit
-7.225774,2.332749,-2.129173,Sit
-6.725215,3.08718,-2.787803,Sit
-7.836504,1.85135,-3.788921,Sit
-7.170689,1.78429,-4.100274,Sit
-7.434141,2.100432,-5.422325,Sit
-6.871311,1.580713,-4.25116,Sit
-6.71324,1.293311,-2.548301,Sit
-7.740704,-0.522114,-3.130291,Sit
